db,country,col,archive,full_repl
GDELT,Australia,<ROW_MISSING_IN_FULL>,,
GDELT,Belgium,n_bp,14,7
GDELT,Belgium,max_vol,2.51541105572522,3.5376758698547155
GDELT,Belgium,avg_vol,1.9034275364591882,3.018987400393923
GDELT,Brazil,n_bp,23,15
GDELT,Brazil,max_vol,2.795231395375771,3.5508624289207438
GDELT,Brazil,avg_vol,2.164500077943124,2.9478133743658783
GDELT,Canada,n_bp,11,3
GDELT,Canada,max_vol,2.031058843328345,2.741683181838094
GDELT,Canada,avg_vol,1.81059799396215,2.6303538102727884
GDELT,France,<ROW_MISSING_IN_FULL>,,
GDELT,Germany,<ROW_MISSING_IN_FULL>,,
GDELT,Indonesia,n_bp,17,10
GDELT,Indonesia,max_vol,2.6785170896656965,3.327213614911911
GDELT,Indonesia,avg_vol,2.108442058582792,2.7956884170568803
GDELT,Iran,n_bp,7,5
GDELT,Iran,max_vol,3.153771947351235,3.585851157982647
GDELT,Iran,avg_vol,2.471968847194177,3.174661334295825
GDELT,Italy,n_bp,25,19
GDELT,Italy,max_vol,2.660196657265533,3.6266949345844086
GDELT,Italy,avg_vol,2.1541985878227097,3.116660768420041
GDELT,Malaysia,<ROW_MISSING_IN_FULL>,,
GDELT,Mexico,n_bp,24,15
GDELT,Mexico,max_vol,2.5757662372032604,3.5272252703902907
GDELT,Mexico,avg_vol,2.0060404716847633,2.9929164898028437
GDELT,Netherlands,max_vol,2.7557083368552697,4.707346553762514
GDELT,Netherlands,avg_vol,2.033408416977666,3.4735018855350743
GDELT,Philippines,max_vol,1.9525185826358333,3.0619983765445387
GDELT,Philippines,avg_vol,1.7795413187006694,2.790730227775593
GDELT,Russia,<ROW_MISSING_IN_FULL>,,
GDELT,Saudi Arabia,n_bp,24,21
GDELT,Saudi Arabia,max_vol,3.2501704900869237,4.719722238855948
GDELT,Saudi Arabia,avg_vol,2.2737083214607647,3.431702948262167
GDELT,Singapore,<ROW_MISSING_IN_FULL>,,
GDELT,Spain,n_bp,17,14
GDELT,Spain,max_vol,3.161933696058791,4.563991018896975
GDELT,Spain,avg_vol,2.24080338457881,3.4184752608484508
