db,country,ally,category,event,col,archive,full_repl
GDELT,Australia,US Ally,Economic win-win cooperation,China-Australia LNG supply agreement signed,shock,-2.7733196703246072,-2.8630859207619697
GDELT,Australia,US Ally,Economic win-win cooperation,Australia-China Trade and Economic Framework signed,shock,0.20009899385676055,0.20657575763809133
GDELT,Australia,US Ally,Economic win-win cooperation,Australia-China Air Services Agreement signed,shock,-1.3321954855323304,-1.3753157196926502
GDELT,Australia,US Ally,Economic win-win cooperation,FTA Talks Begin,shock,-0.1876743416838289,-0.19374894683538235
GDELT,Australia,US Ally,Economic win-win cooperation,Australia-China nuclear cooperation agreements signed,shock,0.999983864965805,1.032351140551218
GDELT,Australia,US Ally,Economic win-win cooperation,Australia-China Joint Coordination Group on Clean Coal Technology launched,shock,-3.364140407402086,-3.4730302240174065
GDELT,Australia,US Ally,Detention / judicial dispute,Rio Tinto executive Stern Hu detained in Shanghai,shock,-0.9676332621492468,-0.9989534199626604
GDELT,Australia,US Ally,Economic win-win cooperation,China-Australia FTA,shock,-0.21222729382222805,-0.21909662396499519
GDELT,Australia,US Ally,Economic win-win cooperation,ChAFTA enters into force,shock,-1.0504053917705365,-1.084404701142396
GDELT,Australia,US Ally,Policy shift / domestic politics,Foreign Interference Laws,shock,-0.8246077827152593,-0.8512985207242505
GDELT,Australia,US Ally,Tech control / export restriction,Australia bans Huawei from 5G,shock,-0.3662679776991491,-0.37812326555692444
GDELT,Australia,US Ally,Diplomatic protest / friction,Australia calls for COVID inquiry,shock,-0.6597594767309705,-0.6811144380974413
GDELT,Australia,US Ally,Economic sanction / tariff barrier,China imposes barley tariffs,shock,0.23028798692332564,0.23774190192925637
GDELT,Australia,US Ally,Security threat,AUKUS security pact announced,shock,0.2325653387183162,0.24009296658675972
GDELT,Australia,US Ally,Economic win-win cooperation,China lifts barley tariffs,shock,-0.32889792750801805,-0.33954362913590097
GDELT,Australia,US Ally,Economic win-win cooperation,China lifts wine tariffs,shock,0.06791995736930273,0.0701183768187974
GDELT,Belgium,Non-Ally,Economic win-win cooperation,Belgium-Luxembourg Economic Union and China sign BIT,shock,2.362896186848899,3.3231788514887617
GDELT,Belgium,Non-Ally,Pandemic / crisis aid,Belgium provides emergency aid after Wenchuan earthquake,shock,-1.5394882191162749,-2.165137309187446
GDELT,Belgium,Non-Ally,Strategic partnership upgrade,China and Belgium establish all-round friendly cooperative partnership,shock,-0.506805919176064,-0.712772199552802
GDELT,Belgium,Non-Ally,Economic win-win cooperation,China-Belgium industrial investment fund agreement signed,shock,-0.506805919176064,-0.712772199552802
GDELT,Belgium,Non-Ally,Cultural / people-to-people cooperation,50th anniversary of China-Belgium diplomatic ties,shock,0.0890190428601248,0.1251964442022503
GDELT,Brazil,Non-Ally,Strategic partnership upgrade,COSBAN established,shock,-0.2174395321950458,-0.27621965992182007
GDELT,Brazil,Non-Ally,Economic win-win cooperation,Brazil recognizes China's market economy status,shock,-0.2174395321950458,-0.27621965992182007
GDELT,Brazil,Non-Ally,Economic win-win cooperation,China becomes Brazil's largest trading partner,shock,1.0251337091792154,1.302256685642045
GDELT,Brazil,Non-Ally,Strategic partnership upgrade,China-Brazil Joint Action Plan 2010-2014 signed,shock,-0.04977855535574234,-0.0632351233143238
GDELT,Brazil,Non-Ally,Strategic partnership upgrade,Comprehensive strategic partnership established,shock,-1.3390801204694163,-1.7010717956859165
GDELT,Brazil,Non-Ally,Economic win-win cooperation,BRICS New Development Bank and Contingent Reserve Arrangement established,shock,0.2701503738713567,0.3431797504584537
GDELT,Brazil,Non-Ally,Cultural / people-to-people cooperation,Visa facilitation agreement enters into force,shock,-0.3255090193413221,-0.4135034219228042
GDELT,Brazil,Non-Ally,Economic win-win cooperation,Brazil says no restrictions on Huawei 5G,shock,-0.02216932620365364,-0.02816232946627295
GDELT,Brazil,Non-Ally,Economic win-win cooperation,China-Brazil local currency trade settlement agreement,shock,-0.963172523758542,-1.2235456187423104
GDELT,Brazil,Non-Ally,Economic sanction / tariff barrier,Brazil launches anti-dumping investigations on Chinese products,shock,-0.7387002658579332,-0.9383920861106669
GDELT,Canada,US Ally,Economic win-win cooperation,Canada-China energy cooperation and joint statement,shock,-1.132254511078163,-1.5284063092412672
GDELT,Canada,US Ally,Strategic partnership upgrade,Canada-China strategic partnership announced,shock,0.2313986445067696,0.3123601140500192
GDELT,Canada,US Ally,Pandemic / disaster shock,China bans Canadian pork imports over H1N1; Canada protests,shock,1.0462563728765921,1.4123192495526085
