db,category_4,col,archive,full_repl
GDELT,Chinese outbound visit,mean,0.3348178998900692,0.3986106968198719
GDELT,Chinese outbound visit,sd,0.7084658703379401,0.8425138417075263
GDELT,Chinese outbound visit,se,0.06440598821254001,0.07659216742795694
GDELT,Chinese outbound visit,ci_lower,0.2085821629934908,0.2484900486610763
GDELT,Chinese outbound visit,ci_upper,0.4610536367866476,0.5487313449786675
GDELT,Partner inbound visit,mean,0.306614929405464,0.36942233425060966
GDELT,Partner inbound visit,sd,0.7801027142985727,0.9305130642422832
GDELT,Partner inbound visit,se,0.06186616945975114,0.0737944861128792
GDELT,Partner inbound visit,ci_lower,0.18535723726435174,0.22478514146936643
GDELT,Partner inbound visit,ci_upper,0.42787262154657624,0.5140595270318529
GDELT,Remote talk,mean,0.21975365148879303,0.2297639711734903
GDELT,Remote talk,sd,0.6770367631075012,0.6669161847023237
GDELT,Remote talk,se,0.15957909543530144,0.15719365222869106
GDELT,Remote talk,ci_lower,-0.0930213755643978,-0.07833558719474415
GDELT,Remote talk,ci_upper,0.5325286785419838,0.5378635295417247
GDELT,Third-party meeting,mean,0.18199894048050155,0.16795617056653056
GDELT,Third-party meeting,sd,0.7308975103779927,0.7844404921918599
GDELT,Third-party meeting,se,0.06313992815515723,0.06776533729520491
GDELT,Third-party meeting,ci_lower,0.058244681296393375,0.035136109467928944
GDELT,Third-party meeting,ci_upper,0.30575319966460973,0.3007762316651322
ICEWS,Chinese outbound visit,mean,0.2861786339227674,0.41451578915822024
ICEWS,Chinese outbound visit,sd,0.6848459726245084,1.0844815147236
ICEWS,Chinese outbound visit,se,0.06225872478404622,0.09858922861123637
ICEWS,Chinese outbound visit,ci_lower,0.1641515333460368,0.22128090108019696
ICEWS,Chinese outbound visit,ci_upper,0.40820573449949793,0.6077506772362435
ICEWS,Partner inbound visit,mean,0.2582072284487627,0.37451846923328364
ICEWS,Partner inbound visit,sd,0.7928416928301145,1.2885943472070889
ICEWS,Partner inbound visit,se,0.06307509839292143,0.10251506192682693
ICEWS,Partner inbound visit,ci_lower,0.1345800355986367,0.17358894785670287
ICEWS,Partner inbound visit,ci_upper,0.38183442129888867,0.5754479906098644
ICEWS,Remote talk,mean,0.2875184217125572,0.41872737364015833
ICEWS,Remote talk,sd,0.7982435995107824,1.1256308979992666
ICEWS,Remote talk,se,0.1881478207509443,0.2653137470294615
ICEWS,Remote talk,ci_lower,-0.08125130695929361,-0.10128757053758619
ICEWS,Remote talk,ci_upper,0.656288150384408,0.9387423178179028
ICEWS,Third-party meeting,mean,0.15467605384741215,0.18747422329933933
ICEWS,Third-party meeting,sd,0.7469247717319113,0.9575836493136585
ICEWS,Third-party meeting,se,0.0645244726583763,0.08272262794950434
ICEWS,Third-party meeting,ci_lower,0.0282080874369946,0.025337872518310822
ICEWS,Third-party meeting,ci_upper,0.2811440202578297,0.34961057408036783
