country,db,node,valence,node_date,col,archive,full_repl
Australia,GDELT,Financial Crisis Cooperation,positive,2008-09-01,avg_shock,0.5912102499874821,0.6103464238405671
Belgium,GDELT,Financial Crisis Cooperation,positive,2008-09-01,avg_shock,-0.8091858979889552,-1.138039613456703
Brazil,GDELT,Financial Crisis Cooperation,positive,2008-09-01,avg_shock,0.1972277317379104,0.2505440314272294
Canada,GDELT,Financial Crisis Cooperation,positive,2008-09-01,avg_shock,1.659360495129728,2.2399354785055996
France,GDELT,Financial Crisis Cooperation,positive,2008-09-01,avg_shock,-0.8974164776844403,-0.8281900021747477
Germany,GDELT,Financial Crisis Cooperation,positive,2008-09-01,avg_shock,-0.8833008395962691,-0.8119049247364283
India,GDELT,Financial Crisis Cooperation,positive,2008-09-01,avg_shock,-0.01335054761533122,-0.01803280479151224
Indonesia,GDELT,Financial Crisis Cooperation,positive,2008-09-01,avg_shock,-0.3489026987579282,-0.4334016811263935
Iran,GDELT,Financial Crisis Cooperation,positive,2008-09-01,avg_shock,-0.6436831210642088,-0.7318702504727804
Italy,GDELT,Financial Crisis Cooperation,positive,2008-09-01,avg_shock,-0.15672829405521962,-0.2136705602586523
Japan,GDELT,Financial Crisis Cooperation,positive,2008-09-01,avg_shock,0.022711947844245857,0.020736431257935197
Malaysia,GDELT,Financial Crisis Cooperation,positive,2008-09-01,avg_shock,-0.6282935689161784,-0.5089258506439048
Mexico,GDELT,Financial Crisis Cooperation,positive,2008-09-01,avg_shock,1.1776807620541527,1.6127027695184835
Netherlands,GDELT,Financial Crisis Cooperation,positive,2008-09-01,avg_shock,-0.270050056023947,-0.46130397167443954
Philippines,GDELT,Financial Crisis Cooperation,positive,2008-09-01,avg_shock,-0.08829671084408991,-0.1384695580688626
Russia,GDELT,Financial Crisis Cooperation,positive,2008-09-01,avg_shock,0.2132159585290938,0.17102691038990284
Saudi Arabia,GDELT,Financial Crisis Cooperation,positive,2008-09-01,avg_shock,-0.9415912346450335,-1.3673279920608534
Singapore,GDELT,Financial Crisis Cooperation,positive,2008-09-01,avg_shock,0.5694011498083207,0.5447488981963345
South Korea,GDELT,Financial Crisis Cooperation,positive,2008-09-01,avg_shock,-0.8163695483687194,-0.7934887590867016
