module,file,rows_archive,rows_full_repl,G1_full_eq_archive,fair_diff_cells
PPML_01基准传导,irf_all.csv,63,63,PASS,0/54
PPML_01基准传导,irf_all.csv,63,63,PASS,45/54
PPML_01基准传导,irf_all.csv,63,63,PASS,45/54
PPML_01基准传导,irf_all.csv,63,63,PASS,0/54
PPML_03干净面板,ppml_final.csv,60,60,PASS,144/240
PPML_04_AR1残差,A_AR1.csv,10,10,PASS,24/40
PPML_05频率扫描,B_freqscan.csv,28,28,PASS,56/140
PPML_06前向效应,D_forward.csv,10,10,PASS,0/4
PPML_02方向分解,directional_decomp.csv,42,42,PASS,0/36
ES_01单国多类型,event_study_metrics.csv,6792,6792,DIFF,228/4146
ES_03联盟M3,alliance_effects.csv,2202,2202,DIFF,97/1112
ES_05会晤M5,direction_summary.csv,8,8,DIFF,24/48
ES_05会晤M5_robust,m5_robustness_category4.csv,8,8,DIFF,24/48
ES_07信任M7,asymmetry.csv,16,16,DIFF,4/12
ES_02断点,breakpoints.csv,45,32,DIFF,26/96
ES_04换届,turnover_vol_corr.csv,2,2,DIFF,1/2
ES_06跨国同类,m6_detailed.csv,2736,2736,DIFF,105/1112
ES_08第三方M8,third_party_effects.csv,720,720,DIFF,72/720
ES_09命中率,hit_rate_main.csv,16,16,PASS,24/48
REV_01同方程,cross_db_same_equation.csv,21,21,PASS,105/105
REV_11_M1显著性,m1_irf_significance.csv,40,40,PASS,21/64
REV_16_test1,test1_lp_interaction.csv,35,35,PASS,32/90
REV_16_test1perm,test1_permutation_summary.csv,2,2,PASS,0/8
REV_16_test2A,test2_partA_nodelevel.csv,2,2,PASS,12/26
REV_16_test2B,test2_partB_panel_lp.csv,14,14,PASS,7/18
REV_16_test2perm,test2_permutation_summary.csv,2,2,PASS,6/18
REV_16_test3wald,test3_wald_symmetry.csv,28,28,PASS,26/56
REV_03换届重估,correlation_summary.csv,4,4,DIFF,8/20
REV_04合作冲突,hitrate_cooperation_vs_conflict.csv,72,72,PASS,156/360
