,Shock specification,Trade flow,h=0,h=1,h=2,h=3,h=4,h=5,h=6
# Table S10a | Local projection estimates for GDELT (h=0–6),,,,,,,,,
,GD-Export,Trade_Exports,0.010** (0.005),0.009* (0.005),0.006 (0.006),0.006 (0.006),0.006 (0.005),0.007 (0.005),0.008 (0.006)
,GD-Export,Trade_Imports,0.011 (0.008),0.011 (0.007),0.009 (0.007),0.011 (0.008),0.010 (0.007),0.012* (0.007),0.013** (0.007)
,GD-Export,Trade_Total,0.009* (0.005),0.009* (0.005),0.007 (0.005),0.006 (0.005),0.008 (0.005),0.008 (0.005),0.009* (0.005)
,GD-Import,Trade_Exports,0.014*** (0.005),0.014*** (0.005),0.012** (0.005),0.011* (0.006),0.013** (0.005),0.013*** (0.005),0.015*** (0.005)
,GD-Import,Trade_Imports,0.018** (0.008),0.016** (0.007),0.015** (0.007),0.015** (0.008),0.015* (0.008),0.021*** (0.008),0.017** (0.007)
,GD-Import,Trade_Total,0.014** (0.006),0.014*** (0.005),0.013*** (0.005),0.011** (0.005),0.014** (0.005),0.016*** (0.005),0.015*** (0.005)
,GD-Total,Trade_Exports,0.013*** (0.005),0.013** (0.005),0.010** (0.005),0.009 (0.006),0.011** (0.006),0.011** (0.005),0.011** (0.006)
,GD-Total,Trade_Imports,0.016* (0.009),0.015* (0.008),0.014* (0.008),0.015* (0.008),0.013* (0.008),0.018** (0.008),0.016** (0.007)
,GD-Total,Trade_Total,0.013** (0.006),0.012** (0.005),0.011** (0.005),0.010* (0.006),0.012** (0.006),0.012** (0.006),0.012** (0.005)
,,,,,,,,,
"# Notes: Political shock = z-scored monthly GDELT index (baseline LP specification). Cells show coefficient (standard error in parentheses). Controls: ln(GDP_i×GDP_j), ln(exchange rate), FTA dummy. Fixed effects: country and year-month. Standard errors clustered at country level. ***p<0.01, **p<0.05, *p<0.10",,,,,,,,,
