,Shock specification,Trade flow,h=0,h=1,h=2,h=3,h=4,h=5,h=6
# Table S11-2c | Local projection estimates for Phoenix (h=0–6),,,,,,,,,
,PH-Export,Trade_Exports,-0.001 (0.003),-0.005 (0.003),-0.003 (0.003),-0.001 (0.003),-0.001 (0.003),-0.001 (0.003),0.000 (0.003)
,PH-Export,Trade_Imports,0.009** (0.005),0.004 (0.003),0.009** (0.004),0.007** (0.003),0.007* (0.004),0.007** (0.003),0.007* (0.004)
,PH-Export,Trade_Total,0.004 (0.003),-0.001 (0.002),0.002 (0.003),0.002 (0.002),0.003 (0.002),0.002 (0.002),0.003 (0.003)
,PH-Import,Trade_Exports,-0.001 (0.002),-0.003 (0.003),-0.005* (0.003),-0.002 (0.003),-0.003* (0.002),-0.003 (0.002),-0.006** (0.003)
,PH-Import,Trade_Imports,0.002 (0.003),0.006** (0.002),0.007** (0.003),0.009*** (0.003),0.010*** (0.003),0.011** (0.005),0.004 (0.005)
,PH-Import,Trade_Total,-0.000 (0.002),0.001 (0.002),0.001 (0.002),0.003 (0.002),0.002 (0.002),0.003 (0.003),-0.003 (0.003)
,PH-Total,Trade_Exports,-0.005* (0.003),-0.005* (0.003),-0.004 (0.003),-0.002 (0.003),-0.002 (0.002),-0.002 (0.003),-0.004 (0.003)
,PH-Total,Trade_Imports,0.005 (0.004),0.005** (0.002),0.008*** (0.003),0.008*** (0.002),0.009*** (0.003),0.008*** (0.003),0.004 (0.004)
,PH-Total,Trade_Total,-0.001 (0.002),-0.001 (0.002),0.002 (0.002),0.002 (0.002),0.003 (0.002),0.002 (0.002),-0.001 (0.003)
,,,,,,,,,
"# Notes: Political shock = z-scored monthly Phoenix index (baseline LP specification). Cells show coefficient (standard error in parentheses). Controls: ln(GDP_i×GDP_j), ln(exchange rate), FTA dummy. Fixed effects: country and year-month. Standard errors clustered at country level. ***p<0.01, **p<0.05, *p<0.10",,,,,,,,,
