,ISO,Country,YearMonth,event_type,covid_period,Import_t_minus1,Import_t_plus1,Import_t_plus2,delta_1,delta_2,pct_change_1,pct_change_2,direction_1,direction_2
# Table S12-1 | List of 22 sanction/technology control events against China (t=-1 to t=+2),,,,,,,,,,,,,,
,AE,United Arab Emirates,2019-04-01,Tech control,0.0,1633.75574,1038.93203,977.10738,-594.82371,-656.64836,-0.364083623663351,-0.4019256636246,Decrease,Decrease
,AU,Australia,2018-08-01,Tech control,0.0,9787.18998,8753.94741,8499.41478,-1033.24257,-1287.7752,-0.105570911784835,-0.13157762367253,Decrease,Decrease
,BR,Brazil,2024-03-01,Economic sanction,0.0,9348.519208,9403.022825,10264.320702,54.5036170000003,915.801494000001,0.0058301871972792,0.0979621984641486,Increase,Increase
,CA,Canada,2022-05-01,Tech control,0.0,2487.40907,2952.25504,3858.73759,464.84597,1371.32852,0.186879583099695,0.55130800017546,Increase,Increase
,CA,Canada,2024-10-01,Economic sanction,0.0,5745.52257,3819.7721,6108.69307,-1925.75047,363.1705,-0.335174119766794,0.0632093069995546,Decrease,Increase
,DE,Germany,2022-11-01,Tech control,0.0,8613.92905,9088.66645,8737.470087,474.7374,123.541036999999,0.0551127594903977,0.0143420077275885,Increase,Increase
,ES,Spain,2022-04-01,Tech control,0.0,804.77206,824.79893,814.2231,20.02687,9.45104000000003,0.0248851457392793,0.0117437476644008,Increase,Increase
,FR,France,2020-07-01,Tech control,1.0,2325.20407,2302.16535,2758.07228,-23.0387199999996,432.86821,-0.0099082572137419,0.186163535314989,Decrease,Increase
,GB,United Kingdom,2020-07-01,Tech control,1.0,1527.45926,1841.47432,1911.9709,314.01506,384.51164,0.205579990395292,0.251732828540383,Increase,Increase
,GB,United Kingdom,2022-11-01,Economic sanction,0.0,1620.09348,1671.04797,2174.521465,50.9544900000001,554.427985,0.0314515740165809,0.34221974956655,Increase,Increase
,IN,India,2020-06-01,Tech control,1.0,1377.77665,2423.25214,2110.2397,1045.47549,732.46305,0.758813476770709,0.531626842420359,Increase,Increase
,IT,Italy,2020-10-01,Tech control,1.0,2522.30667,2315.93802,2503.00492,-206.36865,-19.3017500000001,-0.081817430233414,-0.0076524199969705,Decrease,Decrease
,MX,Mexico,2007-02-01,Economic sanction,0.0,256.711,236.648,283.992,-20.063,27.281,-0.0781540331345366,0.106271254445661,Decrease,Increase
,MX,Mexico,2008-10-01,Economic sanction,0.0,306.316,246.771,306.079,-59.545,-0.236999999999966,-0.194390759868894,-0.000773710808446,Decrease,Decrease
,MX,Mexico,2023-08-01,Economic sanction,0.0,1547.326236,1525.852001,1896.536782,-21.4742350000001,349.210546,-0.0138782853288349,0.225686437594922,Decrease,Increase
,MX,Mexico,2024-04-01,Economic sanction,0.0,1570.896195,1831.635198,1641.124349,260.739003,70.2281539999999,0.165981051981605,0.0447057891053074,Increase,Increase
,MX,Mexico,2024-12-01,Economic sanction,0.0,1661.96091,1435.870141,1458.883916,-226.090769,-203.076994,-0.136038560016433,-0.122191197625701,Decrease,Decrease
,NL,Netherlands,2023-06-01,Tech control,0.0,1223.50197,1335.479444,1651.848042,111.977474,428.346072,0.091522103556564,0.350098391750035,Increase,Increase
,US,United States,2018-03-01,Economic sanction,0.0,10825.05365,13983.82262,14796.53723,3158.76897,3971.48358,0.291801691902007,0.366878881935149,Increase,Increase
,US,United States,2018-04-01,Tech control,0.0,15361.58955,14796.53723,13737.83858,-565.052320000001,-1623.75097,-0.0367834538320939,-0.105702015062627,Decrease,Decrease
,US,United States,2019-05-01,Economic sanction,0.0,10404.37977,9444.20607,10957.35099,-960.173699999999,552.971220000001,-0.0922855298658518,0.0531479273367586,Decrease,Increase
,US,United States,2024-05-01,Economic sanction,0.0,14642.213094,13804.166848,14953.042144,-838.046246,310.829049999998,-0.057234943967822,0.0212282834571891,Decrease,Increase
,,,,,,,,,,,,,,
# Notes: Events coded from event-level data. Direction = change in import flow from t=-1 to t=+1 or t=+2.,,,,,,,,,,,,,,
