condition,test,db,value,metric,n,n_countries,d,beta,r2
R1_exclude_US,T1.1_within,GDELT,0.394,mean_rho,157,16,,,
R1_exclude_US,T1.1_within,ICEWS,0.355,mean_rho,157,16,,,
R1_exclude_US,T1.1_within,Phoenix,0.356,mean_rho,157,16,,,
R1_exclude_US,T1.3_asym,GDELT,0.0235,p_value,157,15,-0.656,,
R1_exclude_US,T1.3_asym,ICEWS,0.062,p_value,157,14,-0.546,,
R1_exclude_US,T1.3_asym,Phoenix,0.1255,p_value,157,15,-0.421,,
R1_exclude_US,T1.4_FE,GDELT,0.003,p_value,157,16,,0.2445,0.08
R1_exclude_US,T1.4_FE,ICEWS,0.0016,p_value,157,16,,0.1932,0.095
R1_exclude_US,T1.4_FE,Phoenix,3e-04,p_value,157,16,,0.1214,0.119
R1_exclude_US,E3_neg_event,ALL,0.0117,p_value,157,16,,-0.2186,0.028
R2_exclude_JP,T1.1_within,GDELT,0.386,mean_rho,158,16,,,
R2_exclude_JP,T1.1_within,ICEWS,0.337,mean_rho,158,16,,,
R2_exclude_JP,T1.1_within,Phoenix,0.335,mean_rho,158,16,,,
R2_exclude_JP,T1.3_asym,GDELT,0.0153,p_value,158,15,-0.713,,
R2_exclude_JP,T1.3_asym,ICEWS,0.043,p_value,158,14,-0.599,,
R2_exclude_JP,T1.3_asym,Phoenix,0.2486,p_value,158,15,-0.311,,
R2_exclude_JP,T1.4_FE,GDELT,0.0076,p_value,158,16,,0.2101,0.057
R2_exclude_JP,T1.4_FE,ICEWS,0.0026,p_value,158,16,,0.1728,0.075
R2_exclude_JP,T1.4_FE,Phoenix,2e-04,p_value,158,16,,0.1193,0.115
R2_exclude_JP,E3_neg_event,ALL,0.0455,p_value,158,16,,-0.1635,0.016
R3_exclude_US_JP,T1.1_within,GDELT,0.376,mean_rho,145,15,,,
R3_exclude_US_JP,T1.1_within,ICEWS,0.344,mean_rho,145,15,,,
R3_exclude_US_JP,T1.1_within,Phoenix,0.343,mean_rho,145,15,,,
R3_exclude_US_JP,T1.3_asym,GDELT,0.0308,p_value,145,14,-0.647,,
R3_exclude_US_JP,T1.3_asym,ICEWS,0.0672,p_value,145,13,-0.558,,
R3_exclude_US_JP,T1.3_asym,Phoenix,0.1764,p_value,145,14,-0.382,,
R3_exclude_US_JP,T1.4_FE,GDELT,0.0114,p_value,145,15,,0.2128,0.061
R3_exclude_US_JP,T1.4_FE,ICEWS,0.003,p_value,145,15,,0.1746,0.081
R3_exclude_US_JP,T1.4_FE,Phoenix,4e-04,p_value,145,15,,0.1204,0.125
R3_exclude_US_JP,E3_neg_event,ALL,0.0374,p_value,145,15,,-0.1942,0.021
R4_exclude_2019,T1.1_within,GDELT,0.308,mean_rho,153,15,,,
R4_exclude_2019,T1.1_within,ICEWS,0.195,mean_rho,153,15,,,
R4_exclude_2019,T1.1_within,Phoenix,0.204,mean_rho,153,15,,,
R4_exclude_2019,T1.3_asym,GDELT,0.0454,p_value,153,13,-0.619,,
R4_exclude_2019,T1.3_asym,ICEWS,0.1168,p_value,153,14,-0.449,,
R4_exclude_2019,T1.3_asym,Phoenix,0.3158,p_value,153,15,-0.269,,
R4_exclude_2019,T1.4_FE,GDELT,0.018,p_value,153,17,,0.1776,0.044
R4_exclude_2019,T1.4_FE,ICEWS,0.0165,p_value,153,17,,0.1522,0.056
R4_exclude_2019,T1.4_FE,Phoenix,0.0212,p_value,153,17,,0.0687,0.031
R4_exclude_2019,E3_neg_event,ALL,0.1615,p_value,153,17,,-0.1353,0.012
R5_2008_2019,T1.1_within,GDELT,0.327,mean_rho,151,16,,,
R5_2008_2019,T1.1_within,ICEWS,0.25,mean_rho,151,16,,,
R5_2008_2019,T1.1_within,Phoenix,0.239,mean_rho,151,16,,,
R5_2008_2019,T1.3_asym,GDELT,0.0801,p_value,151,15,-0.487,,
R5_2008_2019,T1.3_asym,ICEWS,0.3009,p_value,151,14,-0.288,,
R5_2008_2019,T1.3_asym,Phoenix,0.4563,p_value,151,15,-0.198,,
R5_2008_2019,T1.4_FE,GDELT,0.0022,p_value,151,17,,0.2725,0.096
R5_2008_2019,T1.4_FE,ICEWS,4e-04,p_value,151,17,,0.1984,0.108
R5_2008_2019,T1.4_FE,Phoenix,2e-04,p_value,151,17,,0.1263,0.146
R5_2008_2019,E3_neg_event,ALL,0.0113,p_value,151,17,,-0.2015,0.031
