Country,Database pair,Pearson r,Spearman ρ,N months
Australia,GDELT–ICEWS,0.314,0.318,207
Australia,GDELT–Phoenix,0.176,0.188,206
Australia,GDELT–Tsinghua,-0.209,-0.156,207
Australia,ICEWS–Phoenix,0.138,0.158,206
Australia,ICEWS–Tsinghua,-0.247,-0.223,207
Australia,Phoenix–Tsinghua,-0.11,-0.117,206
Belgium,GDELT–ICEWS,0.15,0.173,205
Belgium,GDELT–Phoenix,-0.115,0.056,207
Belgium,GDELT–Tsinghua,,,0
Belgium,ICEWS–Phoenix,0.174,0.09,205
Belgium,ICEWS–Tsinghua,,,0
Belgium,Phoenix–Tsinghua,,,0
Brazil,GDELT–ICEWS,0.019,0.031,207
Brazil,GDELT–Phoenix,-0.054,-0.085,205
Brazil,GDELT–Tsinghua,,,0
Brazil,ICEWS–Phoenix,0.043,-0.039,205
Brazil,ICEWS–Tsinghua,,,0
Brazil,Phoenix–Tsinghua,,,0
Canada,GDELT–ICEWS,0.344,0.275,207
Canada,GDELT–Phoenix,0.13,0.13,207
Canada,GDELT–Tsinghua,,,0
Canada,ICEWS–Phoenix,0.092,0.095,207
Canada,ICEWS–Tsinghua,,,0
Canada,Phoenix–Tsinghua,,,0
France,GDELT–ICEWS,0.219,0.223,207
France,GDELT–Phoenix,0.055,0.101,207
France,GDELT–Tsinghua,0.168,0.194,207
France,ICEWS–Phoenix,0.102,0.086,207
France,ICEWS–Tsinghua,0.073,0.079,207
France,Phoenix–Tsinghua,-0.088,-0.079,207
Germany,GDELT–ICEWS,0.298,0.286,207
Germany,GDELT–Phoenix,0.052,0.094,205
Germany,GDELT–Tsinghua,0.037,0.067,207
Germany,ICEWS–Phoenix,0.138,0.176,205
Germany,ICEWS–Tsinghua,0.038,0.085,207
Germany,Phoenix–Tsinghua,-0.033,-0.012,205
India,GDELT–ICEWS,0.38,0.4,207
India,GDELT–Phoenix,0.297,0.338,207
India,GDELT–Tsinghua,-0.191,-0.226,207
India,ICEWS–Phoenix,0.121,0.138,207
India,ICEWS–Tsinghua,-0.203,-0.287,207
