Database,Shift constant variant,Spearman ρ,Pearson r,RMSE,MAE
GDELT,shift=10.1,0.9921,0.9921,0.3065,0.2157
GDELT,shift=10.5,0.999,0.9991,0.1044,0.0761
GDELT,shift=11.0,1.0,1.0,0.0,0.0
GDELT,shift=12.0,0.9987,0.9988,0.1156,0.0874
GDELT,shift=15.0,0.9924,0.9933,0.2791,0.216
ICEWS,shift=10.1,0.9997,0.9995,0.0611,0.0208
ICEWS,shift=10.5,0.9999,0.9999,0.0222,0.0087
ICEWS,shift=11.0,1.0,1.0,0.0,0.0
ICEWS,shift=12.0,0.9999,0.9999,0.0262,0.0119
ICEWS,shift=15.0,0.9995,0.9995,0.0661,0.0328
Phoenix,shift=10.1,0.9995,0.9995,0.0935,0.0285
Phoenix,shift=10.5,0.9999,0.9999,0.0363,0.0116
Phoenix,shift=11.0,1.0,1.0,0.0,0.0
Phoenix,shift=12.0,0.9998,0.9999,0.0439,0.0148
Phoenix,shift=15.0,0.9993,0.9993,0.1085,0.038
