,event_category,db,window,n_events,n_hit,hit_rate,quadclass,coop_conf
# Table S9-1 | Hit rate by event category across four databases and three windows,,,,,,,,
,Detention / judicial dispute,GDELT,W_strict,6.0,6.0,1.0,Material conflict,Conflict/Shock
,Detention / judicial dispute,GDELT,W_1m,6.0,6.0,1.0,Material conflict,Conflict/Shock
,Detention / judicial dispute,GDELT,W_2m,6.0,5.0,0.833,Material conflict,Conflict/Shock
,Detention / judicial dispute,ICEWS,W_strict,6.0,5.0,0.833,Material conflict,Conflict/Shock
,Detention / judicial dispute,ICEWS,W_1m,6.0,5.0,0.833,Material conflict,Conflict/Shock
,Detention / judicial dispute,ICEWS,W_2m,6.0,4.0,0.667,Material conflict,Conflict/Shock
,Detention / judicial dispute,Phoenix,W_strict,6.0,6.0,1.0,Material conflict,Conflict/Shock
,Detention / judicial dispute,Phoenix,W_1m,6.0,5.0,0.833,Material conflict,Conflict/Shock
,Detention / judicial dispute,Phoenix,W_2m,6.0,5.0,0.833,Material conflict,Conflict/Shock
,Detention / judicial dispute,Tsinghua,W_strict,3.0,3.0,1.0,Material conflict,Conflict/Shock
,Detention / judicial dispute,Tsinghua,W_1m,3.0,3.0,1.0,Material conflict,Conflict/Shock
,Detention / judicial dispute,Tsinghua,W_2m,3.0,3.0,1.0,Material conflict,Conflict/Shock
,Economic sanction / tariff barrier,GDELT,W_strict,21.0,12.0,0.571,Material conflict,Conflict/Shock
,Economic sanction / tariff barrier,GDELT,W_1m,21.0,13.0,0.619,Material conflict,Conflict/Shock
,Economic sanction / tariff barrier,GDELT,W_2m,21.0,10.0,0.476,Material conflict,Conflict/Shock
,Economic sanction / tariff barrier,ICEWS,W_strict,13.0,7.0,0.538,Material conflict,Conflict/Shock
,Economic sanction / tariff barrier,ICEWS,W_1m,13.0,8.0,0.615,Material conflict,Conflict/Shock
,Economic sanction / tariff barrier,ICEWS,W_2m,13.0,9.0,0.692,Material conflict,Conflict/Shock
,Economic sanction / tariff barrier,Phoenix,W_strict,10.0,5.0,0.5,Material conflict,Conflict/Shock
,Economic sanction / tariff barrier,Phoenix,W_1m,10.0,4.0,0.4,Material conflict,Conflict/Shock
,Economic sanction / tariff barrier,Phoenix,W_2m,10.0,5.0,0.5,Material conflict,Conflict/Shock
,Economic sanction / tariff barrier,Tsinghua,W_strict,9.0,6.0,0.667,Material conflict,Conflict/Shock
,Economic sanction / tariff barrier,Tsinghua,W_1m,9.0,7.0,0.778,Material conflict,Conflict/Shock
,Economic sanction / tariff barrier,Tsinghua,W_2m,9.0,7.0,0.778,Material conflict,Conflict/Shock
,Security threat,GDELT,W_strict,5.0,4.0,0.8,Material conflict,Conflict/Shock
