,sample,n_total,window,n_increase,pct_increase,n_decrease,pct_decrease,n_no_change,pct_no_change,median_pct_change,binom_p_increase,binom_ci_lo,binom_ci_hi
# Table S9b | Summary of import direction changes for sanction events,,,,,,,,,,,,,
,All partner-to-China events,22.0,t = +1,10.0,45.4545454545455,12.0,54.5454545454545,0.0,0.0,-0.0118932712712884,0.831811904907227,0.243861865923017,0.677895245446828
,All partner-to-China events,22.0,t = +2,16.0,72.7272727272727,6.0,27.2727272727273,0.0,0.0,0.0581786171681566,0.0524787902832032,0.497778798733651,0.892710751629603
,Tech control only,11.0,t = +1,6.0,54.5454545454545,5.0,45.4545454545455,0.0,0.0,0.0248851457392793,1.0,0.233793597659345,0.832511905936293
,Tech control only,11.0,t = +2,7.0,63.6363636363636,4.0,36.3636363636364,0.0,0.0,0.0143420077275885,0.548828125,0.307904715011677,0.890736556180902
,Economic sanction only,11.0,t = +1,4.0,36.3636363636364,7.0,63.6363636363636,0.0,0.0,-0.057234943967822,0.548828125,0.109263443819098,0.692095284988323
,Economic sanction only,11.0,t = +2,9.0,81.8181818181818,2.0,18.1818181818182,0.0,0.0,0.0632093069995546,0.0654296875,0.482244147639827,0.97716880170004
,Excl. COVID 2020-01~2021-06,18.0,t = +1,8.0,44.4444444444444,10.0,55.5555555555556,0.0,0.0,-0.0253308695804644,0.814529418945313,0.2153015073873,0.692428341001244
,Excl. COVID 2020-01~2021-06,18.0,t = +2,13.0,72.2222222222222,5.0,27.7777777777778,0.0,0.0,0.048926858221033,0.09625244140625,0.465198034416944,0.903050787474441
,COVID 2020-01~2021-06 only,4.0,t = +1,2.0,50.0,2.0,50.0,0.0,0.0,0.0978358665907751,1.0,0.067585986488543,0.932414013511457
,COVID 2020-01~2021-06 only,4.0,t = +2,3.0,75.0,1.0,25.0,0.0,0.0,0.218948181927686,0.625,0.194120449683243,0.99369053679029
,,,,,,,,,,,,,
# Notes: Import direction = increase/decrease from t=-1 to t=+1 or t=+2. Binomial test against 50% null.,,,,,,,,,,,,,
