country,year,indicator_type,favorable,unfavorable,n_sample,source,wave,gdelt_mean,gdelt_std,gdelt_n_months,icews_mean,icews_std,icews_n_months,phoenix_mean,phoenix_std,phoenix_n_months,tsinghua_mean,tsinghua_std,tsinghua_n_months,polling_z,polling_z_by_source,n_obs,polling_z_pew,n_events_total,n_positive,n_negative,n_neutral,has_negative,has_positive,has_any_event,n_visit_total,n_visit_state_head,n_visit_gov_head,n_visit_china_to_partner,n_visit_partner_to_china,n_visit_third_party,n_conflict,n_cooperative,has_conflict,n_high_level_visit,n_economic_win_win_cooperation,n_multilateral___third_party_meeting,n_strategic_partnership_upgrade,n_sovereignty_dispute
Australia,2008,好感度%（四级题，1-2档）,51.4,40,640,Pew Research Center,Pew_2008_24国,0.848501929582754,0.647671560539529,12,1.19581090536227,0.768867793087166,12,1.75047626023354,2.99096640443457,12,5.59166666666667,0.124011240937214,12,0.628579770984039,0.628579770984039,7,0.609350821105987,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0
Australia,2013,好感度%（四级题，1-2档）,56.8,36.2,744,Pew Research Center,Pew_2013_39国,1.40523354389492,0.532034458148782,12,1.05232700806447,1.54104013437901,12,1.78658745424697,2.71329069321574,12,6.20833333333333,0.188092498199125,12,0.986623460480702,0.986623460480702,7,1.00030976279965,2,0,0,2,0,0,1,2,1,1,0,1,1,0,0,0,1,0,1,0,0
Australia,2016,好感度%（四级题，1-2档）,54.4,39.2,936,Pew Research Center,Pew_2016_19国,0.63956328839962,0.493911678084026,12,0.481716527775243,2.05783357538011,12,0.665651257304552,2.17306590485021,12,6.35833333333333,0.178164037455443,12,0.827492931815519,0.827492931815519,7,0.826550233158023,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0
Australia,2017,好感度%（四级题，1-2档）,62,33.9,959,Pew Research Center,Pew_2017_38国,0.849591385362284,0.458609726276535,12,1.19693737314857,1.19500190297521,12,0.847069930863713,2.68260421123148,12,6.16666666666667,0.0887625364598595,12,1.3314062725886,1.3314062725886,7,1.37678874368985,2,0,1,1,1,0,1,2,0,1,1,0,0,0,0,0,1,0,0,0,0
Australia,2018,好感度%（四级题，1-2档）,48.4,46.6,1092,Pew Research Center,Pew_2018_27国,0.420985156990854,0.293789750807544,12,0.18099510838472,1.10448405054,12,0.00813701820750005,2.36162571281609,12,5.825,0.0452267016866649,12,0.42966661015256,0.42966661015256,7,0.392151409053951,2,0,1,1,1,0,1,2,1,0,0,0,1,1,0,1,0,0,1,0,0
Australia,2019,好感度%（四级题，1-2档）,35.7,59.1,959,Pew Research Center,Pew_2019_34国,-0.0759247697026333,0.407718583930852,12,-0.300264933976205,1.38133521991567,12,-1.86666666666667,5.20128189327721,3,5.73333333333333,0.0887625364598595,12,-0.412399104034035,-0.412399104034035,7,-0.527326101966335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,2008,好感度%（四级题，1-2档）,44.5,40.7,852,Pew Research Center,Pew_2008_24国,1.01255185625818,1.03700507086381,12,2.15537838703581,1.0170507970228,12,3.0503641510935,1.74217175966558,12,,,,0.171079501071637,0.171079501071637,10,0.109792173386304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,2009,好感度%（四级题，1-2档）,52.6,36.2,722,Pew Research Center,Pew_2009春_25国,2.09940977734117,0.726609287723031,12,1.6488970471368,2.75374725609182,12,2.47515317897745,1.90046170171533,12,,,,0.708145035316631,0.708145035316631,10,0.696230585926801,3,3,0,0,0,1,1,3,1,0,0,1,0,0,2,0,1,1,0,1,0
Brazil,2010,好感度%（四级题，1-2档）,50.1,33.8,839,Pew Research Center,Pew_2010_22国,2.39567303198281,0.88459068460236,12,1.68966212137189,1.65203338306419,12,3.9788493360335,1.52238421267305,12,,,,0.542384067957065,0.542384067957065,10,0.515231075883438,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0
Brazil,2011,好感度%（四级题，1-2档）,50.6,36,695,Pew Research Center,Pew_2011_23国,2.40300990724249,0.741889750668947,12,2.31548590067521,0.99603142535307,12,1.9954791633454,2.05223530846457,12,,,,0.575536261428979,0.575536261428979,10,0.551430977892111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
